File:,IHME_GBD_2013_ALL_CAUSE_MORTALITY_1980_2013_Y2014M12D17.CSV,,,,,,,,,,,,,,
Variable:,location_id,location_code,location_name,year,age_group_id,age_group_name,sex_id,sex_name,cause_id,cause_name,metric,unit,mean,upper,lower
Label:,Location ID,Country ISO 3166-1 Alpha-3 Code or GBD Region Code,Country or Region Name,Year ,Age Group ID,Age Group Name,Sex ID,Sex Name,Cause ID,Cause Name,Metric,Unit,Mean,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,1,G,Global,1980,2,Early Neonatal,1,Males,294,All causes,Deaths,Number,,,
,2,D0,Developing,1981,3,Late Neonatal,2,Females,,,,"Rate per 100,000",,,
,3,D1,Developed,1982,4,Post Neonatal,,,,,,,,,
,4,S6,"Southeast Asia, East Asia, and Oceania",1983,5,1 to 4,,,,,,,,,
,5,R3,East Asia,1984,6,5 to 9,,,,,,,,,
,6,CHN,China,1985,7,10 to 14,,,,,,,,,
,7,PRK,North Korea,1986,8,15 to 19,,,,,,,,,
,8,TWN,Taiwan,1987,9,20 to 24,,,,,,,,,
,9,R5,Southeast Asia,1988,10,25 to 29,,,,,,,,,
,10,KHM,Cambodia,1989,11,30 to 34,,,,,,,,,
,11,IDN,Indonesia,1990,12,35 to 39,,,,,,,,,
,12,LAO,Laos,1991,13,40 to 44,,,,,,,,,
,13,MYS,Malaysia,1992,14,45 to 49,,,,,,,,,
,14,MDV,Maldives,1993,15,50 to 54,,,,,,,,,
,15,MMR,Myanmar,1994,16,55 to 59,,,,,,,,,
,16,PHL,Philippines,1995,17,60 to 64,,,,,,,,,
,17,LKA,Sri Lanka,1996,18,65 to 69,,,,,,,,,
,18,THA,Thailand,1997,19,70 to 74,,,,,,,,,
,19,TLS,Timor-Leste,1998,20,75 to 79,,,,,,,,,
,20,VNM,Vietnam,1999,21,80 plus,,,,,,,,,
,21,R17,Oceania,2000,22,All Ages,,,,,,,,,
,22,FJI,Fiji,2001,27,Age-standardized,,,,,,,,,
,23,KIR,Kiribati,2002,,,,,,,,,,,
,24,MHL,Marshall Islands,2003,,,,,,,,,,,
,25,FSM,Federated States of Micronesia,2004,,,,,,,,,,,
,26,PNG,Papua New Guinea,2005,,,,,,,,,,,
,27,WSM,Samoa,2006,,,,,,,,,,,
,28,SLB,Solomon Islands,2007,,,,,,,,,,,
,29,TON,Tonga,2008,,,,,,,,,,,
,30,VUT,Vanuatu,2009,,,,,,,,,,,
,31,S2,"Central Europe, Eastern Europe, and Central Asia",2010,,,,,,,,,,,
,32,R2,Central Asia,2011,,,,,,,,,,,
,33,ARM,Armenia,2012,,,,,,,,,,,
,34,AZE,Azerbaijan,2013,,,,,,,,,,,
,35,GEO,Georgia,,,,,,,,,,,,
,36,KAZ,Kazakhstan,,,,,,,,,,,,
,37,KGZ,Kyrgyzstan,,,,,,,,,,,,
,38,MNG,Mongolia,,,,,,,,,,,,
,39,TJK,Tajikistan,,,,,,,,,,,,
,40,TKM,Turkmenistan,,,,,,,,,,,,
,41,UZB,Uzbekistan,,,,,,,,,,,,
,42,R8,Central Europe,,,,,,,,,,,,
,43,ALB,Albania,,,,,,,,,,,,
,44,BIH,Bosnia and Herzegovina,,,,,,,,,,,,
,45,BGR,Bulgaria,,,,,,,,,,,,
,46,HRV,Croatia,,,,,,,,,,,,
,47,CZE,Czech Republic,,,,,,,,,,,,
,48,HUN,Hungary,,,,,,,,,,,,
,49,MKD,Macedonia,,,,,,,,,,,,
,50,MNE,Montenegro,,,,,,,,,,,,
,51,POL,Poland,,,,,,,,,,,,
,52,ROU,Romania,,,,,,,,,,,,
,53,SRB,Serbia,,,,,,,,,,,,
,54,SVK,Slovakia,,,,,,,,,,,,
,55,SVN,Slovenia,,,,,,,,,,,,
,56,R9,Eastern Europe,,,,,,,,,,,,
,57,BLR,Belarus,,,,,,,,,,,,
,58,EST,Estonia,,,,,,,,,,,,
,59,LVA,Latvia,,,,,,,,,,,,
,60,LTU,Lithuania,,,,,,,,,,,,
,61,MDA,Moldova,,,,,,,,,,,,
,62,RUS,Russia,,,,,,,,,,,,
,63,UKR,Ukraine,,,,,,,,,,,,
,64,S1,High-income,,,,,,,,,,,,
,65,R1,High-income Asia Pacific,,,,,,,,,,,,
,66,BRN,Brunei,,,,,,,,,,,,
,67,JPN,Japan,,,,,,,,,,,,
,68,KOR,South Korea,,,,,,,,,,,,
,69,SGP,Singapore,,,,,,,,,,,,
